SEARCH QUERY,"('polycystic ovary syndrome':ti,ab OR 'pcos':ti,ab) AND ('herbal':ti,ab OR 'chinese med*':ti,ab) AND 'rando*':ti,ab",,,,,,,,
-------------------------------------,,,,,,,,,
,,,,,,,,,
Title,Author Names,Abstract,CAS Registry Numbers,Molecular Sequence Numbers,DOI,Full Text Link,Embase Link,Open URL Link,Copyright
Oriental herbal medicine and moxibustion for polycystic ovary syndrome: A meta-analysis,"Kwon C.-Y., Lee B., Park K.S.","Background: Polycystic ovary syndrome (PCOS) is one of the most common disorders of reproductive endocrinology in women of reproductive age. Lifestyle intervention and oral contraceptives are the first-line treatments for PCOS. Recent studies have suggested that complementary and alternative medicine (CAM) therapies including acupuncture, herbal medicine, and mind-body therapy have the potential to alleviate the symptoms and/or pathology of PCOS and to improve the quality of life of women with PCOS. This metaanalysis aimed to quantitatively summarize the efficacy and safety of moxibustion combined with oriental herbal medicine (OHM), common CAM therapies, for treating PCOS. Methods: Four databases were searched from their inception to June 22, 2018. Randomized controlled trials (RCTs) and quasi-RCTs using both OHM and moxibustion as experimental intervention, and western medication (WM) as control intervention were included. Studies involving OHM plus moxibustion combined with WM as the experimental intervention were also included. The quality of included studies was assessed using risk of bias tool. Results: Owing to the heterogeneity of reporting, meta-analysis was only performed for pregnancy rate, rate of normal biphasic basal body temperature (BBT), and total effective rate (TER). The results showed that compared to the WM group, the OHM combined with moxibustion group was associated with significantly higher pregnancy rate (risk ratio [RR] 1.95, 95% confidence interval [CI] 1.55-2.47; I(2) = 0%), normal biphasic BBT rate (RR 1.66, 95% CI 1.34-2.05; I(2) = 0%), and TER (RR 1.19, 95% CI 1.08-1.31; I(2) = 0%). When OHM combined with moxibustion was used as an adjunctive therapy to WM, pregnancy rate (RR 1.65, 95% CI 1.29-2.11; I(2) = 0%), and TER (RR 1.35, 95% CI 1.13-1.61; I(2) = 43%) were significantly higher than those of the WM group. Conclusion: According to current evidence, OHM combined with moxibustion might be beneficial for treating PCOS. Moreover, the treatment might improve the therapeutic effects of conventional WMs including clomiphene citrate, oral contraceptives, and/or metformin. However, the findings should be interpreted with caution, owing to poor methodological quality of the included studies. Further larger, high-quality, rigorous RCTs should be conducted in this regard.","clomifene citrate (50-41-9), estradiol (50-28-2), follitropin (9002-68-0), luteinizing hormone (39341-83-8, 9002-67-9), metformin (1115-70-4, 657-24-9), prasterone sulfate (651-48-9)",,10.1097/MD.0000000000012942,http://dx.doi.org/10.1097/MD.0000000000012942,https://www.embase.com/search/results?subaction=viewrecord&id=L627378289&from=export,,"Copyright 2019 Elsevier B.V., All rights reserved."
Tai chi for overweight/obese adolescent and young women with polycystic ovary syndrome: Study protocol for a randomized controlled trial,"Li Y., Peng C., Cao G., Li W., Hou L.","Background: Tai Chi is a moderately intense exercise that dates back to ancient China. It has been reported that Tai Chi not only has beneficial effects on metabolic disorders, such as diabetes, cardiovascular diseases and obesity, but also has favorable effects on psychological well-being. Since these conditions are quite closely associated with polycystic ovary syndrome (PCOS), we hypothesis that Tai Chi could be a potential treatment option for PCOS patients. We aim to determine the feasibility and effectiveness of Tai Chi on overweight/obese adolescent and young women with PCOS. Methods: A total of 50 patients will be randomized into two arms: (1) Tai Chi or (2) self-monitored exercise. Both groups will exercise for 3 months. The primary hypothesis is that Tai Chi results in a significantly lower Body Mass Index (BMI) than self-monitored exercise. The study was approved by the Ethics Committee of the First Affiliated Hospital of Heilongjiang University of Chinese Medicine. Discussion: This is the first study to determine the feasibility and effectiveness of Tai Chi in treating overweight/obese adolescent and young women with PCOS. The trial will provide evidence to assess the feasibility of a future multicenter, randomized controlled trial. Trial registration: ClinicalTrials.gov, ID: NCT02608554. Registered on 17 November 2015.",,,10.1186/s13063-018-2893-z,http://dx.doi.org/10.1186/s13063-018-2893-z,https://www.embase.com/search/results?subaction=viewrecord&id=L624413534&from=export,,"Copyright 2019 Elsevier B.V., All rights reserved."
EFFECTS OF BUSHEN HUATAN RECIPE ON THE AKTGLUT4 INSULIN SIGNAL PATHWAY OF OVARIAN GRANULAR CELLS IN POLYCYSTIC OVARIAN SYNDROME AND IVF OUTCOMES IN THESE INFERTILE PATIENTS,Xiang Lian S.F.,"OBJECTIVE: To investigate the effect of Kidney-Tonifying and PhlegmResolving Method on the key molecules(AKT, p-AKT and GLUT4) of the AKT-GLUT4 insulin signal pathway in ovarian granular cells(OGC) and its effect on oocyte quality, embryo development and pregnancy outcomes of these infertile patients with polycystic ovary syndrome. DESIGN: Investigate the effect of Kidney-Tonifying and PhlegmResolving Method on the key moleculesof the AKT-GLUT4 insulin signal pathway in ovarian granular cells(OGC) by measurring HOMA-IR, highquality oocytes rate, high-quality embryos rate, clinical pregnancy rate, and the expression of AKT, p-AKT and GLUT4 in ovarian granulosa cells on the day of retrieval. MATERIALS AND METHODS: Sixty-six PCOS patients with Kidneydeficiency and phlegm-dampness treated by in vitro fertilization-embryo transfer (IVF-ET) were randomly and equally (33 patients per group)divided into two groups: the Erzhi Tiangui combined with Qi Gong Keli group (treatment group) and placebo (control group). Two groups of patients were treated with double-drop program(GnRH-a+Diane 35),the treatment group of patients taking the Diane 35 at the same time to giving the above traditional Chinese medicine, until HCG injection day.Patients in the placebo group were given placebo granules as described above. Score changes of Kidneydeficiency and phlegm-dampness symptom before and after treatment were measured, other outcomes including HOMA-IR, high-quality oocytes rate, high-quality embryos rate, clinical pregnancy rate, and the expression of AKT, p-AKT and GLUT4 in ovarian granulosa cells on the day of retrieval were measured. RESULTS: Compared to the placebo group, the Kidney-deficiency and phlegm-dampness symptoms significantly is improved in the chinese treatment group after treatment. In addition, the treatment group take a turn for the better in the HOMA-IR, high-quality oocytes ratio, high-quality embryos ratio, and clinical pregnancy rate (P<0.05 respectively). Compared with the other treatment gourp, the placebo group showed significantly high-regulated p-AKT levels and GLUT4 protein contents (P<0.05 respectively). CONCLUSIONS: The Erzhi Tiangui combined with Qi Gong Keli could significantly improve Kidney-deficiency and phlegm-dampness status in infertile patients, reduce HOMA-IR and increase their high-quality oocytes ratio, high-quality embryos ratio, and clinical pregnancy rate. Bushen Huatan Recipe might improve the insulin resistance status of ovary in PCOS patients through improving the expression of p-AKT and GLUT4 protein in ovarian granular cells, and then provide sufficient energy for oocyte biological function, so as to improve the IVF outcome in these infertile patients.","cyproterone acetate plus ethinylestradiol (60528-19-0), glucose transporter 4 (188071-24-1), gonadorelin (33515-09-2, 9034-40-6), insulin (9004-10-8), protein kinase B (148640-14-6)",,,,https://www.embase.com/search/results?subaction=viewrecord&id=L638107992&from=export,,"Copyright 2022 Elsevier B.V., All rights reserved."
"A Multicenter Randomized Trial of Personalized Acupuncture, Fixed Acupuncture, Letrozole and Placebo on Live Birth for Infertility in Women With Polycystic Ovary Syndrome",,"Brief SummaryThis study is a randomized assessor-blind controlled trial. A total of 1,100 women with PCOS will be recruited from 28 hospitals and randomly allocated into four groups: personalized acupuncture, fixed acupuncture, letrozole or placebo letrozole. Patients will receive treatment for 16 weeks and the primary outcome is live birth.Detailed DescriptionTraditional Chinese Medicine (TCM) usually involves syndrome and disease differentiation, and for acupuncture selection of appropriate points and skillful needling techniques. Many clinical trials on acupuncture used fixed acupuncture protocols without accounting for individual differences. We here design a multicenter randomized controlled trial to evaluate whether personalized or fixed acupuncture increases the likelihood of live births for infertility in women with polycystic ovary syndrome (PCOS) compared with letrozole or placebo letrozole. We hypothesis that letrozole is more effective than personalized acupuncture and that personalized acupuncture is more effective than standardized acupuncture, which is more effective than placebo letrozole.",,,,https://clinicaltrials.gov/study/NCT03625531,https://www.embase.com/search/results?subaction=viewrecord&id=LNCT03625531&from=export,,"This record is sourced from clinicaltrials.gov, an official website of the U.S. Department of Health and Human Services, National Institutes of Health, National Library of Medicine, and National Center for Biotechnology Information. Please visit clinicaltrials.gov for latest updates on this record."
"Celery plus anise versus metformin for treatment of oligomenorrhea in polycystic ovary syndrome: A triple-blind, randomized clinical trial","Jazani A.M., Nazemiyeh H., Tansaz M., Bazargani H.S., Fazljou S.M.B., Azgomi R.N.D., Hamdi K.","Background: Polycystic ovary syndrome (PCOS)-induced oligomenorrhea can leave psychological and non-psychological impacts on women. Among the proposed strategies for its treatment, herbal medications are of importance due to favorable effect profiles. Objectives: We planned a study to compare the effects of Celery and Anise combination (CAC) and metformin (met.) on oligomenorrhea in PCOS patients. Methods: We conducted a triple-blind, Randomized clinical trial on 72 patients that were randomly allocated into two equal groups to receive six capsules of either CAC (750 mg each) or met. (250 mg each) at three separate doses for 15 days beginning from the follicular phase. If the bleeding occurred, three capsules of either placebo or met. would be administered daily during the menstruation phase, and then the follicular phase step with six capsules would be repeated. If the bleeding did not occur, three capsules of either placebo or met. would be administered each day for 15 days. The regularity of menstrual bleeding as the primary outcome, as well as testosterone, luteinizing hormone/follicular stimulating hormone ratio (LH/FSH), and complications, was assessed before and after the three cycles. Results: The mean age ± standard deviation of patients was 26.5 ± 6.1. The mean Body Mass Index was 26.4 ± 3.5. CAC significantly improved oligomenorrhea (58.3% vs. 25%, P < 0.01), increased bleeding episodes (P = 0.003), and reduced testosterone (mean difference: 0.16 vs.-0.02, P = 0.005) and LH/FSH (mean difference: 0.75 vs.-0.08, P = 0.002) without any major side effects compared to met. Conclusions: We showed that Celery and Anise combination could regulate menstrual cycles and improve oligomenorrhea in polycystic ovary syndrome patients superiorly to metformin.","aspartate aminotransferase (9000-97-9), estradiol (50-28-2), estrone (53-16-7), follitropin (9002-68-0), insulin (9004-10-8), luteinizing hormone (39341-83-8, 9002-67-9), metformin (1115-70-4, 657-24-9), testosterone (58-22-0)",,10.5812/ircmj.67181,http://dx.doi.org/10.5812/ircmj.67181,https://www.embase.com/search/results?subaction=viewrecord&id=L2001528395&from=export,,"Copyright 2019 Elsevier B.V., All rights reserved."
Effect of chamomile capsule on lipid- and hormonal-related parameters among women of reproductive age with polycystic ovary syndrome,"Heidary M., Yazdanpanahi Z., Dabbaghmanesh M.H., Parsanezhad M.E., Emamghoreishi M., Akbarzadeh M.","Background: According to traditional herbal medicine, chamomile has been considered as one of the herbal remedies for patients with polycystic ovary syndrome (PCOS). The study aimed to investigate the effect of chamomile on lipid and hormonal parameters in women of reproductive age with PCOS. Materials and Methods: This study is a randomized clinical trial which was conducted on 80 women (40 patients in each group) of childbearing age with PCO. The intervention group received 370 mg oral capsules of chamomile three times a day for 3 months. The control group did receive starch capsule (three times a day). Hormonal and lipid parameters were examined before and 3 months after the intervention. Results: The mean age of the patients was 22.40 ± 5.10 and 24.38 ± 6.14 years in the intervention and control groups, respectively. Decreased level of testosterone was observed in the intervention group (in women with PCOS) who received chamomile capsules (P = 0.017). A significant difference was not seen in low?�density lipoprotein cholesterol level (P = 0.249), high?�density lipoprotein cholesterol (P = 0.073), triglycerides (P = 0.603), the hormone dehydroepiandrosterone sulfate (P = 0.423), and the ratio of luteinizing hormone/follicle?�stimulating hormone (LH/FSH) in the experimental and control groups after the intervention (P = 0.420). Conclusion: According to the findings, oral administration of chamomile capsule caused a significant decrease in total testosterone levels in these patients. However, no significant change was reported with lipid parameters, the ratio of LH/FSH, and dehydroepiandrosterone sulfate level.","cholesterol (57-88-5), follitropin (9002-68-0), luteinizing hormone (39341-83-8, 9002-67-9), prasterone sulfate (651-48-9), testosterone (58-22-0)",,10.4103/jrms.JRMS_90_17,http://dx.doi.org/10.4103/jrms.JRMS_90_17,https://www.embase.com/search/results?subaction=viewrecord&id=L622472015&from=export,,"Copyright 2019 Elsevier B.V., All rights reserved."
Ashwagandha root in the treatment of prediabetes,"Simon K., Inoue T., Fenteany G., Bahtiyar G., Sacerdote A.","Background: Ashwagandha (Withania somnifera) root has been used as a ?�tonic??or adaptogen for millenia both in Aryuvedic and traditional Chinese medicine. Anwer reported that when low-dose streptozotocin treated (Type 2 diabetic) mice were given a standardized preparation of Ashwagandha root there were significant improvements in both insulin secretion and insulin sensitivity. Our group has reported clinical and biochemical improvement using Ashwaganda root in patients with 3 different forms of non-classic adrenal hyperplasia, a family of disorders, which like polycystic ovarian syndrome (PCOS), is associated with insulin resistance (IR). Trivedi et al reported downregulation of expression of the inflammatory cytokines TNF-α, IL-1β, and MIP-1α by Ashwagandha in vitro. Here we report the experience of a patient with prediabetes, whose hemoglobin A1c improved in association with the use of Ashwagandha. Clinical case: Our patient is 56 year old woman with Class III obesity, BMI=49.4 kg/m2, who on routine screening was found to have a hemoglobin A1c (HbA1c) by high performance liquid chromatography of 6.4%, consistent with pre-diabetes. She started taking a standardized preparation of Ashwagandha root 400 mg orally 2x/day. She did not make any changes in lifestyle. Three months later she repeated her HbA1c in the same laboratory and found that it had declined to 5.9%, while her weight declined from 135.0 kg to 131.8 kg. Conclusions: To our knowledge this is the first report of Ashwagandha root usage in a human for the treatment of pre-diabetes. The HbA1c reduction observed is similar to the magnitude reported with dipeptyl-peptidase-4 inhibitors or alpha-glucosidase inhibitors. Our patient's experience suggests that it may be worthwhile to design double-blind, randomized control trials of a standardized Ashwagandha root preparation in the treatment of prediabetes and Type 2 diabetes. The possible mechanisms could involve improved insulin sensitivity and secretion and reduced inflammation.","hemoglobin A1c (62572-11-6), macrophage inflammatory protein 1alpha (155075-84-6), proline dipeptidase (9025-32-5)",,,,https://www.embase.com/search/results?subaction=viewrecord&id=L623114100&from=export,,"Copyright 2018 Elsevier B.V., All rights reserved."
Therapeutic effects on ovulation and reproduction promotion with acupuncture and clomiphene in polycystic ovary syndrome,"Yu L., Cao L., Xie J., Shi Y.","OBJECTIVE: To compare the difference in the therapeutic effects on ovulation disorder in polycystic ovary syndrome (PCOS) between the combined therapy of electroacupuncture and clomiphene and the single medication of clomiphene and to explore the effect mechanism. METHODS: A total of 80 patients of PCOS were randomized into an acupuncture plus medication group (40 cases) and a medication group (40 cases). In the medication group, since the 5th day of menstruation or medicine-withdrawal bleeding, clomiphene was prescribed for oral administration, continuously for 5 days. In the acupuncture plus medication group, the medication was the same as the medication group. Additionally, 30 min electroacupuncture (continuous wave, 2 Hz) was applied to Qihai (CV 6), Guanyuan (CV 4), Zigong (EX-CA 1), Dahe (KI 12), Sanyinjiao (SP 6), Zhongji (CV 3), Diji (SP 8), Shenshu (BL 23), Sanjiaoshu (BL 22) and Ciliao (BL 32), etc. The treatment started on the 5th day of menstruation or medicine-withdrawal bleeding, once every two days, 3 times a week. One cycle of menstruation or 1 month was taken as one course. The treatment cycles were 3 months in the two groups. The level of estradiol (E2) and progesterone (P) in the serum, the endometrial thickness and morphology, ovulation rate and clinical pregnancy rate, as well as the clinical therapeutic effects were compared after treatment in the two groups. RESULTS: Two cases were dropped out because the herbal medicine was taken simultaneously in the acupuncture plus medication group. In the medication group, the medication was discontinued in 3 cases due to gastrointestinal adverse reactions. The total effective rate was 86.8% (33/38) in the acupuncture plus medication group, better than 64.9% (24/37) in the medication group (P<0.05). The ovulation rate in the acupuncture plus medication group was higher than that in the medication group [(86.8%, 33/38) vs (64.9% 24/37), P<0.05]. The pregnancy rate in the acupuncture plus medication group was higher than the medication group in tendency, without significant difference [21.1% (8/38) vs 16.2% (6/37), P>0.05]. After treatment, the results of endometrial thickness and morphology (A-type rate) in the acupuncture plus medication group were better than those in the medication group (P<0.01, P<0.05). After treatment, regarding the levels of E2 and P in the serum in the window period of implantation, the results in the acupuncture plus medication group were higher remarkably than those in the medication group (both P<0.01). CONCLUSION: The combined intervention of electroacupuncture and clomiphene achieves the definite effects of ovulation and pregnancy promotion in PCOS. It remarkably increases the levels of E2 and P in the serum, the endometrial thickness and A-type rate. The therapeutic effects of the combined intervention are remarkably better than those of the simple application of clomiphene. This combined intervention is safe and tolerable for the adverse reactions. The effect mechanisms may be related to the improvements of estrogen, progestin and endometrial receptivity.",clomifene (911-45-5),,10.13703/j.0255-2930.2018.03.009,http://dx.doi.org/10.13703/j.0255-2930.2018.03.009,https://www.embase.com/search/results?subaction=viewrecord&id=L637576161&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
Clinical therapeutic effects of acupuncture combined with Chinese herbal medicine on infertility of polycystic ovary syndrome in the patients with ovulation induction with letrozole,"Yin Y., Zhang Y., Zhang H., Jiang D., Guo G.","OBJECTIVE: To evaluate the clinical therapeutic effects and safety on infertility of polycystic ovary syndrome (PCOS) in the patients with ovulation induction with letrozole in the treatment with the formula for regulating menstruation and removing phlegm and electroacupuncture (EA). METHODS: A total of 120 patients of PCOS infertility were randomized into 3 groups, 40 cases in each one. In the group A, diane-35 was prescribed for oral administration (one tablet a day since the 5th day of menstruation, continuously for 21 days). After 1 course of treatment (3 months), letrozole was used (one tablet a day since the 5th day of menstruation, continuously for 5 days) for ovulation induction for another 1 course (3 months). In the group B, on the basis of the treatment as the group A, since the 5th day of menstruation, the Chinese herbal formula was combined to regulate menstruation and remove phlegm, one dose a day and discontinued during menstruation. In the group C, on the basis of the treatment as the group B, EA was added since the 5th day of menstruation. The main acupoints were Guanyuan (CV 4), Zusanli (ST 36) and Fenglong (ST 40), etc. EA was applied once every 2 days and discontinued during menstruation. In all of the 3 groups, the treatment for 3 months was as 1 course and the 2 courses were required continuously. Before and after treatment, the menstruation improvements, body weight, body mass index (BMI), serum sex hormones [luteal production hormone (LH), follicle stimulating hormone (FSH), LH/FSH, total testosterone (T) and estradiol (E2)] were observed in the patients of each group. The enzyme linked immunosorbent assay was adopted to determine the content of anti-mullerian hormone (AMH) and inhibin B (IHNB). The therapeutic effects, safety, ovulation rate and pregnancy rate were compared among the 3 groups. RESULTS: (1) The differences were significant statistically in the total effective rate, ovulation rate and pregnancy rate in comparison of the 3 groups (all P<0.05). The results in the group C were the best and those in the group B were the better in the comparison of the 3 groups. (2) After treatment, the menstrual cycle was remarkably shortened in the 3 groups (all P<0.05). The result in the group C was better than that in the group A (P<0.05). After treatment, the body weight in the group B and group C was all reduced (both P<0.05). The reducing degree in the group C was better than that in the group A (P<0.05). The differences in BMI were not significant statistically before and after treatment in each group as well as in comparison among the groups (all P>0.05). (3) After treatment, the levels of LH and LH/FSH were all reduced remarkably in the 3 groups (all P<0.05). The differences were not significant statistically in comparison among the three groups (all P>0.05). After treatment, in the group B and group C, the levels of T and AMH were all reduced remarkably (all P<0.05), in which, T value in the group C was lower than that in the group A and group B, that in the group B was lower than the group A (all P<0.05). AMH value in the group C was lower than that in the group A (P<0.05). The differences were not significant statistically in FSH, E2 and IHNB before and after treatment in each group as well as in comparison among the 3 groups (all P>0.05). (4) The luteinized unreuptured follicle syndrome (LUFS) did not happen in the group C. There were 3 cases of LUFS (7.5%) in the group B and 5 cases (12.5%) in the group A. CONCLUSION: For PCOS infertility patients receiving ovulation induction with letrozole, the combined treatment with the Chinese herbal formula for regulating menstruation and removing phlegm and EA remarkably improves the menstrual cycle, reduces body weight and the levels of LH, LH/FSH, T and AMH, improves ovulation and pregnancy rates. This therapy does not induce adverse reactions and the therapeutic effects are better than the simple application of letrozole or the combined therapy of letrozole and Chinese herbal medicine.","estradiol (50-28-2), follitropin (9002-68-0), letrozole (112809-51-5), luteinizing hormone (39341-83-8, 9002-67-9), testosterone (58-22-0)",,10.13703/j.0255-2930.2018.01.006,http://dx.doi.org/10.13703/j.0255-2930.2018.01.006,https://www.embase.com/search/results?subaction=viewrecord&id=L637574512&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
Nutritional supplements and herbal medicines for women with polycystic ovary syndrome; a systematic review and meta-analysis,"Arentz S., Smith C.A., Abbott J., Bensoussan A.","Background: Polycystic ovary syndrome (PCOS) is a common, reproductive endocrinopathy associated with serious short and long term health risks. Many women with PCOS use ingestible complementary medicines. This systematic review examined the effect on menstrual regulation and adverse effects from randomised controlled trials. Methods: Randomised controlled trials (RCTs) that compared herbal or nutritional supplements to placebo or active controls in women with PCOS were eligible for inclusion. Electronic databases were searched to July 2017. Study selection and assessment of quality were conducted independently by two review authors. Results: Twenty four studies (1406 women) investigating seven nutritional supplements and four herbal medicines were included. No one study was assessed as having a low risk of bias. Four trials reported on the primary endpoint menstrual regulation. There was no evidence on improved menstrual regularity for calcium plus vitamin D compared to Metformin (RR: 0.66, 95% CI 0.35 to 1.23, p=0.19), reduced amenorrhoea for Camellia sinensis compared to placebo (RR: 0.17, 95% CI 0.02 to 1.72, p=0.13) and no difference in the number of menses per month for Cinnamomum sp. against placebo (MD 0.05, 95% CI -0.36 to 1.36, p=0.26). Adverse effects were investigated in seven studies (164 women). Mild adverse effects were found for Cinnamomum sp. compared to placebo (17 women, RR: 0.36, 95% CI 0.03 to 0.70, p=0.03). No difference was found for adverse effects between inositol, B complex vitamins, vitamin D, chromium and placebo. Improved reproduction, metabolic hormones and hyperandrogenism was found for inositol and improved cholesterol for omega three fish oils. Conclusion: There is no high quality evidence to support the effectiveness of nutritional supplements and herbal medicine for women with PCOS and evidence of safety is lacking. High quality trials of nutritional supplements and herbal medicines examining menstrual regulation and adverse effects in women with PCOS are needed.","adrenochrome (54-06-8, 72993-60-3), calcium (7440-70-2, 14092-94-5), cholesterol (57-88-5), chromium (16065-83-1, 7440-47-3, 14092-98-9), fish oil (8016-13-5), inositol (55608-27-0, 6917-35-7, 87-89-8), metformin (1115-70-4, 657-24-9), selenium (7782-49-2)",,10.1186/s12906-017-2011-x,http://dx.doi.org/10.1186/s12906-017-2011-x,https://www.embase.com/search/results?subaction=viewrecord&id=L619387660&from=export,,"Copyright 2017 Elsevier B.V., All rights reserved."
Acupuncture and Chinese medicine of artificial cycle therapy for insulin resistance of polycystic ovary syndrome with phlegm damp type and its mechanism,"Yang J., Liu Y., Huang J., Xu J., You X., Lin Q., Zhang J., Dun J., Huang S.","OBJECTIVE: To explore the effect difference between acupuncture combined with Chinese medicine of artificial cycle therapy on the basis of western medication and simple western medication for polycystic ovarian syndrome (PCOS) of phlegm damp type with insulin resistance, and to explore its mechanism. METHODS: Sixty patients were randomly assigned into an observation group and a control group, 30 cases in each group. Patients of the control group began to take letrozole and metformin orally on the third menstrual day. Patients of the observation group were treated with acupuncture combined with Chinese medicine of artificial cycle therapy on the basis of the treatment of the control group. The main acupoints were Guanyuan (CV 4), Qihai (CV 6) and bilateral Zigong (EX-CA 1), Luanchao (Extra), Fenglong (ST 40), Yinlingquan (SP 9), Zusanli (ST 36), Sanyinjiao (SP 6). Dahe (KI 12) was matched in the follicular phase, and warm acupuncture was applied at Guanyuan (CV 4) and Qihai (CV 6); Zhongji (CV 3) and Xuehai (SP 10) were matched in the ovulatory phase, and electroacupuncture were used at Qihai (CV 6) and Zhongji (CV 3), Xuehai (SP 10) and Yinlingquan (SP 9), 2 Hz and continuous wave; The acupoints in the luteal phase were the above main acupoints, at the same time, moxibustion was used at Guanyuan (CV 4) and Qihai (CV 6), the treatment was given once every other day, 30 min a time. There was no treatment in the menstrual phase. Chinese medicine was applied for tonifying kidney and nourishing blood, strengthening spleen and eliminating phlegm. The patients of the two groups were treated for continuous three menstrual cycles. The indexes before and after treatment were detected, including serum microRNA-29 (miR-29) expression, TCM symptom score, insulin (INS), blood-sugar content and homeostasis model assessment-insulin resistance (HOMA-IR) index, the endocrine hormone values of follicle stimulating hormone (FSH), luteinizing hormone (LH), testosterone (T), LH/FSH ratio, prolactin (PRL). The pregnancy rates of the two groups were compared. RESULTS: After treatment the expressions of miR-29 and TCM symptom scores of the two groups were lower than those before treatment (P<0.01, P<0.05), with better results in the observation group (P<0.01, P<0.05). The levels of LH LH/FSH and T of the observation group were lower than those before treatment (P<0.01, P<0.05), and the T value in the control group decreased after treatment (P<0.05). The changes of LH and LH/FSH in the observation group were better than those in the control group (both P<0.05). After treatment, The INS, blood-sugar content and HOMA-IR were lower than those before treatment in the two groups (P<0.05, P<0.01), with better results for INS and HOMA-IR improvements in the observation group (both P<0.05). The pregnancy rate in the observation group was 56.7% (17/30), which was significantly higher than 30.0% (9/30) in the control group (P<0.05). CONCLUSION: Acupuncture combined with Chinese medicine of artificial cycle therapy can improve the endocrine levels and insulin resistance of PCOS with phlegm damp type. At the same time, the pregnancy rate is improved. By the view of molecular biology, there may be a pathway trough changing serum miR-29 expression.","letrozole (112809-51-5), metformin (1115-70-4, 657-24-9)",,10.13703/j.0255-2930.2017.11.007,http://dx.doi.org/10.13703/j.0255-2930.2017.11.007,https://www.embase.com/search/results?subaction=viewrecord&id=L637575209&from=export,,"This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine"
Beneficial effects of Heqi san on rat model of polycystic ovary syndrome through the PI3K/AKT pathway,"Zhao H., Zhou D., Chen Y., Liu D., Chu S., Zhang S.","Background: Heqi San, a traditional Chinese medicine (TCM) has been reported to regulate hormone levels in patients with metabolic disease, suggesting a potential clinical application. In the current study, we aimed to elucidate the effect of Heqi San on rat model of polycystic ovary syndrome (PCOS). Method: PCOS model was established in female SD rats. Rats were randomly divided into four groups: the control, untreated PCOS model, Heqi San treated PCOS model (8.1 g/kg) and metformin (MET) treated PCOS model (135 mg/kg) groups. All animals were subcutaneously injected with 6 mg/100 g dehydroepiandrosterone (DHEA) in the neck once a day for 20 consecutive days. The serum hormone levels were measured by ELISA. The ovarian tissues were stained with hematoxylin and eosin (HE) to undergo pathological examination. The expression levels of GLTU4 and PTEN mRNA were examined by real time PCR. The crucial proteins in the PI3K/APT pathway were analyzed by western blotting. Then, the functions of the target genes were analyzed using bioinformatics approaches. Results: We found that Heqi San was able to recover the serum hormone levels and improve insulin resistance in PCOS rat model. A morphological lesion of the ovary was also restored with the Heqi San treatment. More importantly, we discovered a correlation between the PI3K/AKT signaling pathway and the beneficial effects of Heqi San, demonstrating that its application could alter the expression levels of p-ERK, p-AKT, p-GSK3β, IRS-1, PTEN and GLTU4, all key factors in the PI3K/APT pathway. Through a bioinformatical analysis, we predicted the related gene function and pathway of the pathological mechanism of PCOS and found miRNAs that are likely to be critical in PCOS occurrence, including rno-miR-144-3p, rno-miR-30c-2-3p, rno-miR-486, rno-miR-3586-3p and rno-miR-146b-5p. Conclusion: The beneficial effects of Heqi on PCOS, including alter serum hormone levels, recover ovary morphological lesions and improve insulin resistance, which is mediated through the PI3K/AKT pathway. Graphical abstract: The potential role of miRNA-144-3p in PCOS pathogenesis.[Figure not available: see fulltext].","eosin (17372-87-1, 51395-88-1, 548-26-5), glucose transporter 4 (188071-24-1), glycogen synthase kinase 3alpha (), glycogen synthase kinase 3beta (), hematoxylin (517-28-2), insulin receptor substrate 1 (175335-32-7), metformin (1115-70-4, 657-24-9), mitogen activated protein kinase (142243-02-5), phosphatidylinositol 3 kinase (115926-52-8), phosphatidylinositol 3,4,5 trisphosphate 3 phosphatase (210488-47-4), prasterone (53-43-0), protein kinase B (148640-14-6)",,10.1186/s40199-017-0188-7,http://dx.doi.org/10.1186/s40199-017-0188-7,https://www.embase.com/search/results?subaction=viewrecord&id=L618684193&from=export,,"Copyright 2018 Elsevier B.V., All rights reserved."
